koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_duration,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
0,0,0,0,2.8606,881.3,509.0,51.8,2.0,q1_q17_dr25_tce,4072.0,4.696,0.57,0,1,0
0,1,0,0,2.4845,42450.0,723.0,307.5,1.0,q1_q17_dr25_tce,5875.0,4.572,0.809,0,0,1
0,0,0,0,2.517,218.5,742.0,18.5,1.0,q1_q17_dr25_tce,5670.0,4.206,1.264,1,0,0
0,0,0,0,4.4056,7425.9,495.0,247.9,1.0,q1_q17_dr25_tce,5149.0,4.447,0.93,0,1,0
0,0,0,0,2.9004,450.7,845.0,29.2,2.0,q1_q17_dr25_tce,5149.0,4.447,0.93,0,1,0
0,0,0,0,2.1024,451.6,1174.0,39.7,1.0,q1_q17_dr25_tce,5754.0,4.345,1.122,0,1,0
0,0,0,0,2.2607,755.9,896.0,60.8,1.0,q1_q17_dr25_tce,4986.0,4.496,0.833,0,1,0
0,0,0,0,3.252,353.6,667.0,21.9,2.0,q1_q17_dr25_tce,4986.0,4.496,0.833,0,1,0
0,0,0,0,3.0854,2260.0,595.0,157.8,1.0,q1_q17_dr25_tce,3837.0,4.747,0.517,1,0,0
0,1,0,0,2.0488,20285.0,853.0,192.3,1.0,q1_q17_dr25_tce,5612.0,4.566,0.829,0,0,1
0,0,0,0,2.3892,1410.7,635.0,87.2,1.0,q1_q17_dr25_tce,4261.0,4.641,0.633,0,1,0
0,0,0,0,2.7363,1250.6,502.0,57.6,2.0,q1_q17_dr25_tce,4261.0,4.641,0.633,0,1,0
0,0,0,0,2.3734,439.0,418.0,14.9,3.0,q1_q17_dr25_tce,4261.0,4.641,0.633,0,1,0
0,1,1,1,5.0683,401.1,1399.0,76.8,1.0,q1_q17_dr25_tce,6200.0,3.8,2.404,0,0,1
0,0,0,0,5.073,1200.7,487.0,53.3,1.0,q1_q17_dr25_tce,4919.0,4.566,0.721,0,1,0
0,0,0,0,3.784,298.5,1145.0,125.6,1.0,q1_q17_dr25_tce,5945.0,4.213,1.302,0,1,0
0,0,0,0,3.035,1254.9,720.0,64.5,1.0,q1_q17_dr25_tce,5121.0,4.457,0.888,0,1,0
0,0,0,0,1.1757,299.2,992.0,15.0,2.0,q1_q17_dr25_tce,5121.0,4.457,0.888,1,0,0
0,0,0,0,5.012,549.4,1139.0,45.1,1.0,q1_q17_dr25_tce,6007.0,4.457,0.961,0,1,0
0,1,1,1,6.703,1590.7,878.0,60.4,1.0,q1_q17_dr25_tce,5811.0,4.521,0.926,0,0,1
0,0,0,0,7.558,3136.4,236.0,46.8,2.0,q1_q17_dr25_tce,5067.0,4.585,0.75,0,1,0
0,1,0,0,2.1958,24905.0,1109.0,125.4,1.0,q1_q17_dr25_tce,5209.0,4.657,0.603,0,0,1
0,0,0,0,2.11275,37492.0,929.0,1011.6,1.0,q1_q17_dr25_tce,4820.0,4.667,0.639,1,0,0
0,0,0,0,2.8979,3036.1,686.0,175.2,1.0,q1_q17_dr25_tce,5097.0,4.597,0.779,0,1,0
